theme,review_count,avg_rating,total_thumbs_up,avg_thumbs_up,review_count_norm,thumbs_up_norm,pain_index
rewards_devaluation,5715,1.1371828521434821,22619,3.957830271216098,1.0,1.0,1.0
customer_support,3929,1.0531941969966914,10932,2.7823873759226267,0.6704188964753645,0.48002313578928635,0.556
payment_issues,3828,1.1057993730407523,8247,2.154388714733542,0.6517807713600295,0.3605623776472682,0.477
app_performance,1891,1.12374405076679,2994,1.5832892649391856,0.2943347481085071,0.1268464139526606,0.194
trust_privacy,903,1.0310077519379846,598,0.6622369878183831,0.11201328658424063,0.02024381562555615,0.057
ui_ux,463,1.2311015118790496,476,1.0280777537796977,0.030817494002583504,0.014815803523758676,0.021
feature_request,531,1.1581920903954803,411,0.7740112994350282,0.04336593467429415,0.011923829862964941,0.025
loan_issues,296,1.1047297297297298,143,0.4831081081081081,0.0,0.0,0.0
